0,1,2,3,4,5,6,7
16,R 99 999,R 1 981 p/m,2012 Hyundai Atos Prime 1.1 GLS,Used Car130 000 kmManual,CITTON CARS GEZINA,"Gezina, Pretoria",km from you?
15,R 99 950,R 1 980 p/m,2012 Mazda Mazda3 Sedan 1.6 Dynamic,Used Car203 039 kmManual,AUTO VIEW PRE OWNED BOKSBURG,"Ravenswood, Boksburg",km from you?
11,R 99 950,R 1 980 p/m,2012 Hyundai i10 1.1 GLS,Used Car157 612 kmManual,SA MOTORCORP,"Bordeaux, Randburg",km from you?
4,R 99 950,R 1 980 p/m,2012 Volkswagen Polo Sedan 1.4 Trendline,Used Car162 000 kmManual,ABSOLUT AUTO,"Northcliff, Randburg",km from you?
16,R 99 950,R 1 980 p/m,2012 Hyundai i10 1.1 GLS,Used Car160 000 kmManual,PRISTINE MOTORS,"De Deur, Vereeniging",km from you?
14,R 99 950,R 1 980 p/m,2012 Nissan Micra 1.2 Acenta,Used Car218 000 kmManual,PRISTINE MOTORS,"De Deur, Vereeniging",km from you?
18,R 99 900,R 1 979 p/m,2012 Hyundai i10 1.1 GLS,Used Car117 800 kmManual,JEEP FIAT ALFA ROMEO MENLYN,"Newlands, Pretoria",km from you?
18,R 99 900,R 1 979 p/m,2013 Honda Brio Hatch 1.2 Trend,Used Car146 000 kmManual,LIONS OF JUDAH,"Montana Park, Pretoria",km from you?
15,R 99 900,R 1 979 p/m,2017 Tata Indica 1.4 LGi,Used Car47 362 kmManual,EASY AUTO FIN (PTY) LTD,"Vereeniging Central, Vereeniging",km from you?
19,R 99 900,R 1 979 p/m,2012 Smart Fortwo 1.0t Cabrio passion,Used Car116 400 kmAutomatic,AUTOCITY MAHINDRA HEIDELBERG,"Heidelberg Industrial, Heidelberg",km from you?
19,R 99 900,R 1 979 p/m,2014 Ford Ikon 1.6 Ambiente,Used Car126 000 kmManual,GLOBAL AUTOHAUS WESTRAND,"Horison View, Roodepoort",km from you?
11,R 99 900,R 1 979 p/m,2015 Renault Sandero 66kW Turbo Expression (Aircon),Used Car149 316 kmManual,KARAM MOTORS,"Fontainebleau, Randburg",km from you?
17,R 99 900,R 1 979 p/m,2012 Renault Sandero 1.6 Expression,Used Car133 921 kmManual,LISACARS,"Wilbart, Germiston",km from you?
17,R 99 900,R 1 979 p/m,2013 Suzuki Alto 1.0 GLX,Used Car85 182 kmManual,LISACARS,"Wilbart, Germiston",km from you?
17,R 99 900,R 1 979 p/m,2015 Peugeot 208 5-Door 1.0 Access,Used Car67 000 kmManual,EBK AUTO DEALERS BRAAMFONTEIN,"Vrededorp, Johannesburg",km from you?
11,R 99 900,R 1 979 p/m,2014 Chevrolet Spark 1.2 LS,Used Car121 000 kmManual,BMW SANDTON,"Sandton Central, Sandton",km from you?
12,R 99 900,R 1 979 p/m,2014 Honda Ballade 1.5 Elegance Auto,Used Car246 000 kmAutomatic,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
9,R 99 900,R 1 979 p/m,2018 Datsun Go 1.2 Lux,Used Car45 257 kmManual,ANGELS MOTOR GROUP,"Randjespark, Midrand",km from you?
15,R 99 900,R 1 979 p/m,2012 Chevrolet Cruze Sedan 1.8 LS,Used Car132 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
18,R 99 900,R 1 979 p/m,2012 Hyundai i30 1.6 Premium,Used Car208 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
13,R 99 900,R 1 979 p/m,2012 Mazda Mazda2 Hatch 1.5 Dynamic,Used Car214 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
14,R 99 900,R 1 979 p/m,2012 Renault Clio 1.6 Dynamique,Used Car134 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
16,R 99 900,R 1 979 p/m,2012 Audi A4 1.8T Ambition,Used Car171 445 kmManual,CHICANE AUTO,"Windsor West, Randburg",km from you?
14,R 99 900,R 1 979 p/m,2015 Hyundai i10 1.1 GLS,Used Car162 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
14,R 99 900,R 1 979 p/m,2015 Toyota Corolla Quest 1.6 auto,Used Car128 000 kmAutomatic,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
18,R 99 900,R 1 979 p/m,2017 Tata Bolt Hatch 1.2T XMS,Used Car88 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
17,R 99 900,R 1 979 p/m,2019 Datsun Go 1.2 Mid,Used Car85 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
13,R 99 900,R 1 979 p/m,2014 Kia Rio hatch 1.4 Tec,Used Car154 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
11,R 99 900,R 1 979 p/m,2016 GWM Steed 5 2.2MPi Workhorse,Used Car160 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
12,R 99 900,R 1 979 p/m,2016 Hyundai Accent Sedan 1.6 Motion,Used Car161 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
12,R 99 900,R 1 979 p/m,2014 Renault Clio 66kW Turbo Expression,Used Car124 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
13,R 99 900,R 1 979 p/m,2012 Kia Cerato Sedan 2.0 SX,Used Car165 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
16,R 99 900,R 1 979 p/m,2015 Ford Figo 1.4 Ambiente,Used Car130 085 kmManual,AURINIA MOTORS,"Silverton, Pretoria",km from you?
19,R 99 900,R 1 979 p/m,2014 Renault Sandero 66kW Turbo Dynamique,Used Car192 000 kmManual,KOOS AND MIKE USED CARS,"Vanderbijlpark CW 4, Vanderbijlpark",km from you?
16,R 99 900,R 1 979 p/m,2012 Fiat 500 1.4 Lounge,Used Car131 000 kmManual,KOOS AND MIKE USED CARS,"Vanderbijlpark CW 4, Vanderbijlpark",km from you?
19,R 99 900,R 1 979 p/m,2014 Ford Figo 1.4TDCi Ambiente,Used Car129 000 kmManual,KOOS AND MIKE USED CARS,"Vanderbijlpark CW 4, Vanderbijlpark",km from you?
17,R 99 900,R 1 979 p/m,2012 Mazda Mazda3 Sedan 1.6 Original,Used Car225 000 kmManual,AURINIA MOTORS,"Silverton, Pretoria",km from you?
10,R 99 900,R 1 979 p/m,2012 Volkswagen Polo Hatch 1.2TDI BlueMotion,Used Car208 949 kmManual,MMU MOTORS,"Windsor West, Randburg",km from you?
11,R 99 900,R 1 979 p/m,2017 Datsun Go 1.2 Lux,Used Car94 000 kmManual,F&J Car Sales,"Vereeniging Central, Vereeniging",km from you?
16,R 99 900,R 1 979 p/m,2016 Chevrolet Spark 1.2,Used Car107 000 kmManual,KOOS AND MIKE USED CARS,"Vanderbijlpark CW 4, Vanderbijlpark",km from you?
16,R 99 900,R 1 979 p/m,2016 Chevrolet Spark 1.2,Used Car107 000 kmManual,KOOS AND MIKE USED CARS,"Vanderbijlpark CW 4, Vanderbijlpark",km from you?
1,R 99 900,R 1 979 p/m,2017 Renault Kwid 1.0 Expression,Used Car99 033 kmManual,HEYHALFWAY FOURWAYS,"Magaliesview, Sandton",km from you?
17,R 99 800,R 1 977 p/m,2015 Peugeot 107 1.0 Urban,Used Car127 000 kmManual,CINZACO AUTO VAAL,"Duncanville, Vereeniging",km from you?
7,R 99 000,R 1 961 p/m,2016 Volkswagen Polo Vivo Sedan 1.4 Conceptline,Used Car153 443 kmManual,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
8,R 99 000,R 1 961 p/m,2012 Mercedes-Benz Vito 113 CDI Panel Van,Used Car192 600 kmManual,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
6,R 98 000,R 1 941 p/m,2018 Toyota Etios Sedan 1.5 Xs,Used Car156 505 kmManual,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
13,R 97 900,R 1 940 p/m,2016 Chevrolet Spark 1.2 LS,Used Car185 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
17,R 97 900,R 1 940 p/m,2012 Jeep Compass 2.0L Limited,Used Car145 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
16,R 97 900,R 1 940 p/m,2014 Nissan Almera 1.5 Acenta,Used Car161 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
13,R 97 900,R 1 940 p/m,2013 Dodge Journey 3.6 R/T,Used Car192 000 kmAutomatic,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
7,R 95 000,R 1 882 p/m,2016 Volkswagen Polo Vivo Sedan 1.4 Conceptline,Used Car204 031 kmManual,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
9,R 95 000,R 1 882 p/m,2015 Volkswagen Polo Vivo Sedan 1.4 Conceptline,Used Car128 022 kmManual,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
9,R 95 000,R 1 882 p/m,2016 Volkswagen Polo Vivo Sedan 1.4 Conceptline,Used Car247 753 kmManual,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
18,R 94 900,R 1 880 p/m,2015 Ford Fiesta 5-Door 1.0T Trend Auto,Used Car75 000 kmAutomatic,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
12,R 94 900,R 1 880 p/m,2013 Opel Astra Hatch 1.6 Essentia,Used Car165 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
16,R 94 900,R 1 880 p/m,2014 Opel Corsa 1.4 Essentia,Used Car171 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
17,R 94 900,R 1 880 p/m,2015 Volkswagen up! take up! 3-Door 1.0,Used Car190 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
14,R 94 900,R 1 880 p/m,2013 Nissan Livina 1.6 Visia,Used Car216 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
14,R 94 900,R 1 880 p/m,2022 Daihatsu Terios 1.5,Used Car222 800 kmManual,AUTO VISION,"Annlin, Pretoria",km from you?
13,R 94 900,R 1 880 p/m,2013 Hyundai Accent 1.6 GLS Auto,Used Car222 000 kmAutomatic,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
19,R 94 900,R 1 880 p/m,2013 Volkswagen Polo 1.4 Comfortline,Used Car112 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
7,R 94 000,R 1 862 p/m,2019 Nissan Almera 1.5 Acenta Auto,Used Car135 582 kmAutomatic,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
8,R 93 000,R 1 842 p/m,2019 Renault Kwid 1.0 Dynamique,Used Car58 819 kmManual,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
14,R 92 900,R 1 840 p/m,2016 Tata Super Ace 1.4TD DLE,Used Car100 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
14,R 92 900,R 1 840 p/m,2014 Suzuki Swift Hatch 1.2 GL,Used Car150 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
12,R 92 900,R 1 840 p/m,2013 GWM H5 2.4 4x4 Lux,Used Car174 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
8,R 92 000,R 1 823 p/m,2013 Toyota Etios Sedan 1.5 Xs,Used Car161 582 kmManual,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
16,R 91 900,R 1 821 p/m,2015 Renault Sandero Stepway 66kW Turbo,Used Car287 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
18,R 91 900,R 1 821 p/m,2016 Suzuki Splash 1.2 GA,Used Car101 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
7,R 90 000,R 1 783 p/m,2015 Volkswagen Polo Vivo Sedan 1.4 Conceptline,Used Car188 536 kmManual,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
10,R 89 900,R 1 781 p/m,2015 Mitsubishi Mirage 1.2 GL,Used Car71 300 kmManual,HIGHLINE MOTORS,"Gleneagles, Johannesburg",km from you?
11,R 89 900,R 1 781 p/m,2012 Ford Bantam 1.3i,Used Car128 000 kmManual,ROSSO AUTO,"Corporate Park, Midrand",km from you?
15,R 89 900,R 1 781 p/m,2013 Fiat Punto 1.4 Base Easy,Used Car128 600 kmManual,AUTOCITY MAHINDRA HEIDELBERG,"Heidelberg Industrial, Heidelberg",km from you?
17,R 89 900,R 1 781 p/m,2015 Nissan Micra 1.2 Visia+ (audio),Used Car118 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
17,R 89 900,R 1 781 p/m,2012 Hyundai i30 1.8 GLS,Used Car224 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
17,R 89 900,R 1 781 p/m,2013 Hyundai i10 1.1 GLS,Used Car58 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
17,R 89 900,R 1 781 p/m,2013 Volkswagen Polo Sedan 1.6TDI Comfortline,Used Car114 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
17,R 89 900,R 1 781 p/m,2013 Mercedes-Benz C-Class C200 Classic,Used Car306 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
17,R 89 900,R 1 781 p/m,2019 Renault Kwid 1.0 Expression,Used Car66 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
10,R 89 900,R 1 781 p/m,2014 Ford Figo 1.4 Ambiente,Used Car135 298 kmManual,ANGELS MOTOR GROUP,"Randjespark, Midrand",km from you?
10,R 89 900,R 1 781 p/m,2015 Mitsubishi Mirage 1.2 GL,Used Car71 300 kmManual,HIGHLINE MOTORS,"Gleneagles, Johannesburg",km from you?
17,R 89 900,R 1 781 p/m,2019 Renault Kwid 1.0 Expression,Used Car66 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
16,R 89 900,R 1 781 p/m,2013 Ford Fiesta 5-door 1.4 Ambiente,Used Car225 732 kmManual,CHICANE AUTO,"Windsor West, Randburg",km from you?
15,R 89 900,R 1 781 p/m,2015 Renault Sandero 66kW Turbo Dynamique,Used Car131 674 kmManual,CHICANE AUTO,"Windsor West, Randburg",km from you?
10,R 89 900,R 1 781 p/m,2014 Ford Figo 1.4 Ambiente,Used Car135 298 kmManual,ANGELS MOTOR GROUP,"Randjespark, Midrand",km from you?
19,R 89 900,R 1 781 p/m,2012 Ford Figo 1.4TDCi Ambiente,Used Car146 000 kmManual,KOOS AND MIKE USED CARS,"Vanderbijlpark CW 4, Vanderbijlpark",km from you?
17,R 89 900,R 1 781 p/m,2013 Volkswagen Polo 1.4 Comfortline,Used Car230 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
15,R 89 900,R 1 781 p/m,2013 Volkswagen Polo Vivo 3-Door 1.6 GT,Used Car110 000 kmManual,EBK AUTO DEALERS BRAAMFONTEIN,"Vrededorp, Johannesburg",km from you?
7,R 89 000,R 1 763 p/m,2016 Volkswagen Polo Vivo Sedan 1.4 Conceptline,Used Car169 349 kmManual,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
16,R 87 900,R 1 741 p/m,2012 Suzuki SX4 2.0 L,Used Car283 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
19,R 87 900,R 1 741 p/m,2012 Volkswagen Polo Vivo 5-Door 1.4,Used Car153 608 kmManual,Private Business Seller,"Dainfern, Sandton",km from you?
7,R 87 000,R 1 724 p/m,2014 Toyota Etios Sedan 1.5 Xi,Used Car189 927 kmManual,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
7,R 85 000,R 1 684 p/m,2015 Nissan Tiida Hatch 1.6 Acenta,Used Car189 413 kmManual,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
9,R 85 000,R 1 684 p/m,2015 Volkswagen Polo Vivo Sedan 1.4 Conceptline,Used Car205 521 kmManual,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
9,R 84 950,R 1 683 p/m,2012 Chevrolet Spark Lite 1.0 LS,Used Car127 249 kmManual,AUTO INVESTMENTS (PTY) LTD,"Vanderbijlpark CW 1, Vanderbijlpark",km from you?
12,R 84 900,R 1 682 p/m,2012 Volkswagen Polo Vivo 5-Door 1.4,Used Car191 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
18,R 84 900,R 1 682 p/m,2012 Chevrolet Sonic Hatch 1.6 LS,Used Car144 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
2,R 84 900,R 1 682 p/m,2012 Ford Figo 1.4 Ambiente,Used Car150 500 kmManual,HALFWAY TOYOTA FOURWAYS,"Fourways, Sandton",km from you?
13,R 81 900,R 1 623 p/m,2012 Mahindra XUV500 2.2CRDe W6,Used Car366 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
17,R 81 900,R 1 623 p/m,2014 Mitsubishi Mirage 1.2 GL,Used Car102 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
7,R 80 000,R 1 585 p/m,2012 Renault Laguna Coupe V6,Used Car226 017 kmAutomatic,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
9,R 79 999,R 1 585 p/m,2012 Volkswagen Polo Vivo Sedan 1.4 Trendline,Used Car370 000 kmManual,ANDRE AND SON MOTORS CC,"Rhodesfield, Kempton Park",km from you?
16,R 79 900,R 1 583 p/m,2014 Ford Figo 1.4 Ambiente,Used Car157 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
17,R 79 900,R 1 583 p/m,2012 Volkswagen Passat 2.0TDI Comfortline Auto,Used Car171 000 kmAutomatic,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
15,R 79 900,R 1 583 p/m,2012 Ford Everest 3.0TDCi XLT,Used Car386 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
16,R 79 900,R 1 583 p/m,2015 Datsun Go 1.2 Lux,Used Car114 500 kmManual,MAHINDRA VAAL,"Vanderbijlpark Central, Vanderbijlpark",km from you?
18,R 79 900,R 1 583 p/m,2013 Renault Clio 1.6 Avantage,Used Car96 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
20,R 79 900,R 1 583 p/m,2014 Mazda Mazda2 Hatch 1.3 Active,Used Car243 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
10,R 79 900,R 1 583 p/m,2012 Nissan Micra 1.2 Visia+,Used Car145 730 kmManual,VAAL HONDA,"Duncanville, Vereeniging",km from you?
16,R 77 900,R 1 543 p/m,2012 Chevrolet Sonic Hatch 1.6 LS,Used Car172 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
14,R 77 000,R 1 525 p/m,2012 Hyundai i10 1.25 GLS,Used Car181 000 kmManual,STAR NISSAN VANDERBIJLPARK,"Vanderbijlpark CE 6, Vanderbijlpark",km from you?
8,R 74 900,R 1 484 p/m,2012 Kia Proceed 2.0 L,Used Car148 000 kmManual,SMT MOTORS,"Linden, Randburg",km from you?
13,R 74 900,R 1 484 p/m,2014 Peugeot 107 1.0 Urban,Used Car177 500 kmManual,SIGNATURE MOTORS,"Bardene, Boksburg",km from you?
15,R 74 900,R 1 484 p/m,2014 Opel Corsa 1.4 Essentia,Used Car236 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
13,R 74 900,R 1 484 p/m,2016 Honda Ballade 1.5 Elegance,Used Car327 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
18,R 72 900,R 1 444 p/m,2014 Tata Indica 1.4 LE LTD,Used Car77 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
18,R 70 900,R 1 405 p/m,2014 Chevrolet Aveo Sedan 1.6 LS Auto,Used Car148 000 kmAutomatic,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
17,R 69 900,R 1 385 p/m,2014 Chevrolet Sonic Sedan 1.6 LS,Used Car165 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
17,R 69 900,R 1 385 p/m,2014 Hyundai ix35 2.0 Elite,Used Car208 000 kmAutomatic,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
17,R 69 900,R 1 385 p/m,2013 Renault Clio 66kW Turbo Expression,Used Car236 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
18,R 69 900,R 1 385 p/m,2014 Renault Sandero 66kW Turbo Dynamique,Used Car182 399 kmManual,LISACARS,"Wilbart, Germiston",km from you?
17,R 69 900,R 1 385 p/m,2013 Opel Corsa 1.4 Essentia,Used Car141 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
14,R 64 900,R 1 286 p/m,2015 Tata Indica 1.4 LE,Used Car41 000 kmManual,HIGHLINE MOTORS,"Gleneagles, Johannesburg",km from you?
17,R 59 900,R 1 187 p/m,2012 GWM H5 2.0VGT 4x4 Lux,Used Car189 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
17,R 59 900,R 1 187 p/m,2014 Audi A4 1.8T 88kW S,Used Car130 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
10,R 59 900,R 1 187 p/m,2012 Renault Sandero 1.6 Expression,Used Car151 121 kmManual,MMU MOTORS,"Windsor West, Randburg",km from you?
16,R 59 900,R 1 187 p/m,2016 Toyota Corolla Quest 1.6 auto,Used Car83 000 kmAutomatic,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
17,R 59 900,R 1 187 p/m,2012 Chery Tiggo 1.6 TX,Used Car210 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
13,R 100 000,R 1 981 p/m,2014 Suzuki Swift 1.4 SE Auto,Used Car75 000 kmAutomatic,TJ AUTO,"Bramley, Johannesburg",km from you?
11,R 100 000,R 1 981 p/m,2016 Ford Fiesta 1.4 5-door Ambiente,Used Car67 000 kmManual,TJ AUTO,"Bramley, Johannesburg",km from you?
12,R 100 000,R 1 981 p/m,2014 Toyota Corolla Quest 1.6,Used Car90 000 kmManual,ST CARS DEALERSHIP,"Kensington, Johannesburg",km from you?
14,R 100 000,R 1 981 p/m,2015 Toyota Corolla Quest 1.6,Used Car87 000 kmManual,CONFIDENT MOTORS,"Maboneng, Johannesburg",km from you?
12,R 100 000,R 1 981 p/m,2012 Hyundai i20 1.4 GL,Used Car110 000 kmManual,DWAYNE MOTORS,"Highlands North, Johannesburg",km from you?
13,R 100 000,R 1 981 p/m,2015 Volkswagen Polo Vivo HATCH 1.4 CONCEPTLINE,Used Car65 000 kmManual,MILLION MOTORS,"Nimrod Park, Kempton Park",km from you?
12,R 100 000,R 1 981 p/m,2016 Nissan NP200 1.6i (aircon),Used Car143 000 kmManual,MILLION MOTORS,"Nimrod Park, Kempton Park",km from you?
14,R 100 000,R 1 981 p/m,2014 Renault Scenic 1.6 Authentique,Used Car164 700 kmManual,ALRODE CITY MOTORS,"Alrode, Alberton",km from you?
20,R 100 000,R 1 981 p/m,2015 Mahindra Quanto 2.2CRDe,Used Car117 600 kmManual,KEITZMAN AUTO EXCHANGE,"Kensington B, Randburg",km from you?
